source,prediction,reference,bleu
28-jähriger koch in san francisco mall tot aufgefunden,28-year-old reach in san apply,28-year-old chef found dead at san francisco mall,0.0351
"ein 28-jähriger koch, der vor kurzem nach san francisco gezogen ist, wurde im treppenhaus eines örtlichen einkaufzentrums tot aufgefunden.","a 28-year-old reach, which",a 28-year-old chef who had recently moved to san francisco was found dead in the stairwell of a local mall this week.,0.0019
"der bruder des opfers sagte aus, dass er sich niemanden vorstellen kann, der ihm schaden wollen würde, endlich ging es bei ihm wieder bergauf.",the brother of opfers said that he could,"but the victims brother says he cant think of anyone who would want to hurt him, saying, things were finally going well for him.",0.0053
"der am mittwoch morgen in der westfield mall gefundene leichnam wurde als der 28 jahre alte frank galicia aus san francisco identifiziert, teilte die gerichtsmedizinische abteilung in san francisco mit.",the lenamich was identified on,"the body found at the westfield mall wednesday morning was identified as 28-year-old san francisco resident frank galicia, the san francisco medical examiners office said.",0.0023
"das san francisco police department sagte, dass der tod als mord eingestuft wurde und die ermittlungen am laufen sind.",the san-largen department,the san francisco police department said the death was ruled a homicide and an investigation is ongoing.,0.0013
"der bruder des opfers, louis galicia, teilte dem abs sender kgo in san francisco mit, dass frank, der früher als koch in boston gearbeitet hat, vor sechs monaten seinen traumjob als koch im sons & daughters restaurant in san francisco ergattert hatte.","the brother of opfers, louis galicia,","the victims brother, louis galicia, told abc station kgo in san francisco that frank, previously a line cook in boston, had landed his dream job as line chef at san franciscos sons & daughters restaurant six months ago.",0.0005
"ein sprecher des sons & daughters sagte, dass sie über seinen tod schockiert und am boden zerstört seien.",a speaker of the western expect the speaker of,a spokesperson for sons & daughters said they were shocked and devastated by his death.,0.0123
"wir sind ein kleines team, das wie eine enge familie arbeitet und wir werden ihn schmerzlich vermissen, sagte der sprecher weiter.","we are a small team, such as close","we are a small team that operates like a close knit family and he will be dearly missed, the spokesperson said.",0.072
unsere gedanken und unser beileid sind in dieser schweren zeit bei franks familie und freunden.,our thoughts and content are in this,our thoughts and condolences are with franks family and friends at this difficult time.,0.0683
"louis galicia gab an, dass frank zunächst in hostels lebte, aber dass, die dinge für ihn endlich bergauf gingen.",it was a case of the first time that,"louis galicia said frank initially stayed in hostels, but recently, things were finally going well for him.",0
"er fand eine wohnung, er hatte eine freundin, teilte louis garcia kgo mit.","he was a housing, he had a fr","he found an apartment, he was dating a girl, louis galicia told kgo.",0.0374
"louis galicia sagte, dass er sich niemanden vorstellen könne, der seinem jüngeren bruder schaden wollen würde.",it said that he could never imagine anyone who,louis galicia said he could not think of anyone who would want to hurt his younger brother.,0.0312
er war ein freundlicher mensch mit einem großen herzen.,he was a great concern with a great deal,he was a kind spirit with a big heart.,0.1492
"seine art mit seiner familie zu verbinden war es, uns immer etwas zu kochen, uns das abendessen zuzubereiten, sagte louis galicia.",his kind of family was to be combined with,"his way of connecting with the family was always making us a dish, making us dinner, louis galicia said.",0.021
er wollte nie an irgendeiner art von auseinandersetzung teilnehmen.,he did not want to take part in any,he never wanted to be in any kind of altercation.,0.054
"er war der bruder, der mit dem strom schwamm.",he was the brother who was a source of,he was the brother that went with the flow.,0.2985
"bei allem, was in der welt schief läuft, war er dieser ungeschliffene diamant, der jeden tag hell leuchtete, sagte er.","in particular, what is wrong in the world","with everything else thats going wrong with the world, he was that diamond in the rough that was shining bright every day, he said.",0.0088
"jeder, der informationen zu dem fall hat, wird gebeten das hinweistelefon des sfpd unter der nummer 415-575-4444 anzurufen.",everyone who has information on the case,anyone with information is asked to call the sfpd tip line at 415-575-4444.,0.0167
jennifer aniston: ich werde immer in schubladen gesteckt,the shadow of the people: i will always,jennifer aniston: im always pigeonholed,0.0278
jennifer aniston muss nicht immer perfekt oder erfolgreich sein.,the fact that the entry of the,jennifer aniston need not always be perfect or successful.,0
das hat der hollywood-star in einem interview jetzt unmissverständlich klar gemacht.,this has now made it clear to the first,that is what the hollywood star has made abundantly clear in an interview.,0.0217
"ich werde immer in schubladen gesteckt oder bekomme von außen label aufgeklebt, die mit mir und der realität meist wenig zu tun haben.",i will always be back or given the,"im always pigeonholed, or labelled by someone who has little, if anything, to do with me and reality.",0.0095
"ich selbst habe nicht den wunsch, immer perfekt und erfolgreich zu sein.",i myself do not want to be perfect and,"personally, i have no desire to be perfect and successful all the time.",0.2024
"ehrlich gesagt, sind mir diese dinge eher schnuppe.",i am very honest saying that these things are,"to be honest, i dont really give a damn about things like that.",0.0183
"jennifer aniston (47) kann nur darüber lachen, dass sie als miss perfect gilt, wie sie in der aktuellen cosmopolitan erklärt.",the enthusiastic of the report,jennifer aniston (47) can only laugh that she has been dubbed miss perfect in the current issue of cosmopolitan.,0.0039
"am liebsten verbringt die schauspielerin nämlich ihre zeit zuhause, vorm fernseher mit lockerem dutt und mexikanischem essen, heißt es in dem magazin.","then, in fact, then,","the actress prefers to spend her time at home in front of the television with her hair in a relaxed bun, eating mexican food, the magazine reports.",0.0003
